month,voyages,co2_t,fuel_t
2026-01,19,50.21721982719717,16.106591207985275
2026-02,5147,13030.619310984686,4182.654357442384
2026-03,5341,14075.271171013013,4518.63217405745
2026-04,5591,14115.433267799557,4531.164169238607
2026-05,5847,14672.20509366581,4709.955519986034
2026-06,5525,13757.091366865336,4415.9808704624365
2026-07,3591,8968.44411238373,2878.9755735430035
2026-08,2634,6596.871614725032,2118.0100999791985
