pathway,label,co2_t,co2_saved_t,co2_saved_pct,co2e100_t,co2e100_saved_t,co2e100_saved_pct,energy_in_mwh,energy_saved_pct,annual_cost_usd,cost_delta_usd,local_pollutant_removed_pct,note,abatement_cost_usd_per_tco2,abatement_cost_usd_per_tco2e,baseline_cost_usd,blended_fuel_price_usd_per_t
baseline,Baseline (as operated),175888.54,0.0,0.0,217593.34,0.0,0.0,630992.63,0.0,50991234.92,0.0,0.0,"Fuel burn as observed, priced at Indonesian domestic industrial rates.",,,50991234.92,903.11
b40,B40 drop-in biodiesel,133675.29,42213.25,24.0,165370.94,52222.4,24.0,630992.63,0.0,89018016.03,38026781.12,0.0,"Drop-in, no vessel modification. Already the mandated blend on land.",900.83,728.17,50991234.92,903.11
b100,B100 / HVO drop-in,35177.71,140710.83,80.0,47870.53,169722.8,78.0,630992.63,0.0,78481835.93,27490601.02,40.0,Drop-in after fuel-system checks. Near-zero sulphur and lower black carbon.,195.37,161.97,50991234.92,903.11
bio_methanol,Bio-methanol (engine conversion),26383.28,149505.26,85.0,28287.13,189306.2,87.0,630992.63,0.0,108441949.94,57450715.03,95.0,Engine conversion or newbuild plus bunkering at both terminals.,384.27,303.48,50991234.92,903.11
shore_power,Shore power at berth and anchorage,187687.67,-11799.13,-6.71,218869.66,-1276.32,-0.59,537875.33,14.76,42459186.8,-8532048.12,25.88,"Cold ironing at both terminals plus a connection for vessels queueing offshore. Displaces only the stationary hotel load, but that is the single largest block of energy on this corridor and it needs no change to the ships' propulsion.",,,50991234.92,903.11
electric_grid,"Battery-electric, PLN grid",248519.82,-72631.28,-41.29,248519.82,-30926.49,-14.21,292376.26,53.66,19171971.47,-31819263.45,100.0,"Shore energy at the industrial tariff. Ship-side CO2 follows the grid; all ship-side NOx, SOx, PM and black carbon go to zero at the two terminals.",,,50991234.92,903.11
electric_re,"Battery-electric, dedicated RE",12425.99,163462.55,92.94,12425.99,205167.35,94.29,292376.26,53.66,19171971.47,-31819263.45,100.0,Same energy from dedicated renewables plus storage at the terminals.,-194.66,-155.09,50991234.92,903.11
